slice_id,mae,mse,psnr,ssim,lpips
YG_2LEC0G5PJYWI_0_1_z075,0.07551295310258865,0.020748289301991463,16.83017662159388,0.6140394272189496,0.29735228419303894
YG_2LEC0G5PJYWI_0_1_z078,0.06764919310808182,0.01454839762300253,18.371848476205134,0.49897385058789145,0.4145696759223938
YG_2LEC0G5PJYWI_0_1_z081,0.060210682451725006,0.010893551632761955,19.62830544937418,0.5461688708485299,0.382756769657135
YG_2LEC0G5PJYWI_0_1_z084,0.11182790994644165,0.025304997339844704,15.967937188047703,0.3711125354129731,0.4625012278556824
YG_2LEC0G5PJYWI_0_1_z087,0.05771508812904358,0.009994818828999996,20.002250545507753,0.6298491923269609,0.296233206987381
YG_2LEC0G5PJYWI_0_1_z090,0.05034717917442322,0.007979297079145908,20.980353623833654,0.6270585792575525,0.27010536193847656
YG_2LEC0G5PJYWI_0_1_z093,0.05257877707481384,0.009085161611437798,20.416673590574483,0.5883605767783912,0.3147442936897278
YG_2LEC0G5PJYWI_0_1_z096,0.05171917378902435,0.00822287704795599,20.84976229692307,0.6052846245217012,0.28210318088531494
YG_2LEC0G5PJYWI_0_1_z099,0.07589846849441528,0.014391531236469746,18.41893005340499,0.5514510001965098,0.3260916471481323
YG_2LEC0G5PJYWI_0_1_z102,0.05116340145468712,0.008142996579408646,20.892157596860216,0.6006074591791851,0.30855125188827515
YG_2LEC0G5PJYWI_0_1_z105,0.052101001143455505,0.00831216387450695,20.802858865458447,0.6369455062697108,0.27545425295829773
YG_2LEC0G5PJYWI_0_1_z108,0.06733916699886322,0.011426553130149841,19.42084799951717,0.6638069874076267,0.27818310260772705
YG_2LEC0G5PJYWI_0_1_z111,0.0719229131937027,0.013818937353789806,18.59525350514757,0.5906183076466778,0.31065842509269714
YG_2LEC0G5PJYWI_0_1_z114,0.07830226421356201,0.017030877992510796,17.68762944706532,0.5800078926526703,0.3431284427642822
YG_2LEC0G5PJYWI_0_1_z117,0.051736168563365936,0.008267284370958805,20.826371385137744,0.6904915234009267,0.24927324056625366
YG_2LEC0G5PJYWI_0_1_z120,0.04209595546126366,0.005777216050773859,22.3828137550648,0.6726996104100186,0.25150540471076965
YG_2LEC0G5PJYWI_0_1_z123,0.037012722343206406,0.005163101013749838,22.870893824569013,0.7091457019167177,0.26534777879714966
YG_2LEC0G5PJYWI_0_1_z126,0.04534928873181343,0.007531147450208664,21.231388541840236,0.6438551600873468,0.27353420853614807
YG_2LEC0G5PJYWI_1_2_z075,0.0677875280380249,0.016948966309428215,17.708568263447834,0.6457351497454712,0.28619933128356934
YG_2LEC0G5PJYWI_1_2_z078,0.06985515356063843,0.017193753272294998,17.646293514946766,0.5859871746363344,0.33441054821014404
YG_2LEC0G5PJYWI_1_2_z081,0.07992485165596008,0.017118850722908974,17.665254606043234,0.5878492353729309,0.3073660433292389
YG_2LEC0G5PJYWI_1_2_z084,0.07437996566295624,0.014278360642492771,18.453216748732878,0.5150674392424331,0.3811988830566406
YG_2LEC0G5PJYWI_1_2_z087,0.03940741345286369,0.005757587496191263,22.397594421551723,0.6812349470808152,0.23530462384223938
YG_2LEC0G5PJYWI_1_2_z090,0.04856384918093681,0.007908635772764683,21.018984630791472,0.6425862913779526,0.25253012776374817
YG_2LEC0G5PJYWI_1_2_z093,0.06821849942207336,0.012972820550203323,18.869655999085364,0.5650679796627448,0.31237339973449707
YG_2LEC0G5PJYWI_1_2_z096,0.04897235706448555,0.007317914627492428,21.356126640741845,0.5879332696037325,0.29117926955223083
YG_2LEC0G5PJYWI_1_2_z099,0.045973338186740875,0.008076442405581474,20.9277992891308,0.6445366453937698,0.2775769531726837
YG_2LEC0G5PJYWI_1_2_z102,0.05442995950579643,0.008741556666791439,20.58411214327032,0.5895408292781448,0.31735503673553467
YG_2LEC0G5PJYWI_1_2_z105,0.04975074157118797,0.007682510651648045,21.144968314538744,0.6542789988632577,0.23527652025222778
YG_2LEC0G5PJYWI_1_2_z108,0.0472438670694828,0.007217192091047764,21.416317412983595,0.6368942093249622,0.2593882083892822
YG_2LEC0G5PJYWI_1_2_z111,0.06279587745666504,0.00946836918592453,20.237248200632116,0.6312935870314098,0.2929905354976654
YG_2LEC0G5PJYWI_1_2_z114,0.06407536566257477,0.009822559542953968,20.077752842566028,0.6039337260025821,0.36426928639411926
YG_2LEC0G5PJYWI_1_2_z117,0.04549809545278549,0.006758025381714106,21.70180180469125,0.6648689711594397,0.2683468461036682
YG_2LEC0G5PJYWI_1_2_z120,0.03652173653244972,0.004880884196609259,23.115014718526652,0.7032731734299805,0.2138475626707077
YG_2LEC0G5PJYWI_1_2_z123,0.03960716351866722,0.005825776141136885,22.346461860291118,0.647816109866343,0.3079036772251129
YG_2LEC0G5PJYWI_1_2_z126,0.045436594635248184,0.005709944758564234,22.433680897174618,0.6328040944101754,0.3167707324028015
